23-May,2,3,0,6,0,4
24-May,0,3,0,6,0,4
25-May,2,2,0,7,0,4
26-May,0,1,0,8,0,3
27-May,3,1,0,7,0,3
28-May,0,1,0,6,0,3
29-May,2,1,0,5,0,3
30-May,3,1,0,4,0,3
31-May,1,4,0,4,0,3
1-Jun,4,2,0,4,0,3
2-Jun,6,5,0,5,0,3
3-Jun,1,5,0,5,0,3
4-Jun,0,0,0,5,0,3
5-Jun,5,1,1,5,0,3
6-Jun,5,1,0,5,0,2
7-Jun,1,8,0,4,0,2
8-Jun,2,1,0,4,0,2
9-Jun,2,2,0,3,0,2
10-Jun,2,3,0,4,0,2
11-Jun,4,1,0,4,0,2
12-Jun,0,4,0,4,0,2
13-Jun,3,0,0,4,0,2
14-Jun,2,3,0,4,0,2
15-Jun,0,2,0,5,0,2
16-Jun,0,0,0,5,0,2
17-Jun,1,0,0,5,0,2
18-Jun,0,0,1,3,0,2
19-Jun,1,1,0,2,0,1
20-Jun,1,0,0,3,0,0
21-Jun,0,1,0,3,0,0
22-Jun,1,1,0,4,0,0
23-Jun,3,2,0,3,0,0
24-Jun,0,1,0,3,0,0
25-Jun,2,1,0,3,0,0
26-Jun,0,2,0,3,0,0
27-Jun,0,0,0,3,0,0
28-Jun,2,0,0,3,0,0
29-Jun,2,4,0,3,0,0
30-Jun,1,0,0,3,0,0
1-Jul,0,1,0,3,0,0
2-Jul,1,0,0,3,0,0
3-Jul,1,0,0,3,0,0
4-Jul,3,4,0,3,0,0
5-Jul,0,1,0,3,0,0
6-Jul,2,0,0,3,0,0
7-Jul,2,3,0,2,0,0
8-Jul,2,3,0,2,0,0
9-Jul,3,2,0,2,0,0
10-Jul,8,1,0,2,0,0
11-Jul,0,8,0,2,0,0
12-Jul,1,0,0,2,0,0
13-Jul,1,1,0,2,0,0
14-Jul,2,2,0,2,0,0
15-Jul,7,5,0,3,0,0
16-Jul,0,3,0,3,0,0
17-Jul,5,5,0,3,0,0
18-Jul,1,1,0,3,0,0
19-Jul,0,0,0,3,0,0
20-Jul,2,1,0,3,0,0
21-Jul,0,1,0,3,0,0
22-Jul,5,4,0,3,0,0
23-Jul,2,3,0,2,0,0
24-Jul,9,7,0,3,0,0
25-Jul,3,2,0,3,0,0
26-Jul,1,2,0,3,0,0
27-Jul,3,3,0,3,0,0
28-Jul,18,9,0,4,0,0
29-Jul,9,17,0,7,0,0
30-Jul,32,20,0,8,0,0
31-Jul,20,14,0,9,0,0
1-Aug,14,29,0,10,0,0
2-Aug,12,5,1,8,0,0
3-Aug,18,24,0,7,0,0
4-Aug,14,12,0,7,0,0
5-Aug,19,12,0,8,0,0
6-Aug,8,17,0,7,0,0
7-Aug,11,6,0,9,0,0
8-Aug,6,14,0,7,0,0
9-Aug,7,4,0,7,0,0
10-Aug,27,20,0,7,0,0
11-Aug,21,17,0,7,0,0
12-Aug,10,23,0,7,0,0
13-Aug,19,8,0,4,0,0
14-Aug,14,16,0,4,0,0
15-Aug,5,9,0,4,0,0
16-Aug,7,10,0,4,0,0
17-Aug,18,9,0,2,1,1
18-Aug,14,19,0,2,0,1
19-Aug,10,18,0,2,0,1
20-Aug,13,5,0,3,0,1
21-Aug,10,11,0,3,0,1
22-Aug,3,10,0,3,0,1
23-Aug,10,8,0,5,0,1
24-Aug,17,11,0,5,0,1
25-Aug,8,12,0,6,0,1
26-Aug,18,13,0,7,0,1
27-Aug,7,11,0,6,0,1
28-Aug,3,9,0,6,0,1
29-Aug,3,4,0,7,0,1
30-Aug,2,2,0,8,0,1
31-Aug,1,1,0,8,0,1
1-Sep,5,3,1,7,0,1
2-Sep,5,3,0,6,0,1
3-Sep,2,2,0,6,1,2
4-Sep,5,8,0,6,0,2
5-Sep,1,3,0,3,0,2
6-Sep,1,0,0,3,0,2
7-Sep,2,2,1,3,0,2
8-Sep,3,1,0,4,0,1
9-Sep,2,3,0,4,0,1
10-Sep,2,3,0,4,0,1
11-Sep,5,1,0,4,0,1
12-Sep,7,5,0,4,0,1
13-Sep,1,8,0,4,0,1
14-Sep,9,7,0,6,0,1
15-Sep,9,4,0,5,0,1
16-Sep,11,13,0,5,0,1
17-Sep,10,6,0,6,0,1
18-Sep,13,18,0,6,0,1
19-Sep,17,13,0,7,0,1
20-Sep,10,10,0,9,0,1
21-Sep,9,14,0,9,0,1
22-Sep,14,14,0,12,0,0
23-Sep,29,28,0,13,0,0
24-Sep,10,9,0,16,0,0
25-Sep,23,11,0,18,0,0
26-Sep,7,16,0,18,0,0
27-Sep,19,16,0,20,0,0
28-Sep,25,26,0,20,0,0
29-Sep,16,14,0,17,0,0
30-Sep,16,16,0,12,0,1
1-Oct,16,19,0,12,0,1
2-Oct,20,17,0,10,0,2
3-Oct,20,20,0,11,0,2
4-Oct,19,20,0,11,0,2
5-Oct,28,21,0,10,0,3
6-Oct,17,27,2,9,0,3
7-Oct,40,18,0,8,0,2
8-Oct,20,42,0,8,0,2
9-Oct,38,24,1,8,0,2
10-Oct,17,28,0,5,0,2
11-Oct,48,25,0,5,0,2
12-Oct,68,66,0,8,0,2
13-Oct,60,81,0,10,0,2
14-Oct,95,59,0,9,0,2
15-Oct,133,98,0,13,0,2
16-Oct,126,133,0,18,0,2
17-Oct,81,112,0,22,0,2
18-Oct,34,54,0,23,0,2
19-Oct,42,48,0,25,0,2
20-Oct,3,25,0,24,0,2
